HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/disco-hi-tec-s-pte-ltd/,Disco Hi-Tec (S) Pte Ltd,dhssales@discosin.com.sg,+65 67473737,+65 67450266,2 Kaki Bt Ave 1 #03-06/08 S(417938),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/chang-tai-chiang-hardware-pte-ltd/,Chang Tai Chiang Hardware Pte Ltd,ctckhihardware@gmail.com,+65  64810240,+65  64826170,Blk 5054 Ang Mo Kio Ind Pk 2 #01-1117  S(569557),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/cba-industries-pte-ltd/,CBA Industries Pte Ltd,sales@cbaindustries.com,+65 62725444,+65 62748732,217 Henderson Rd #02-02 Henderson Ind Pk S(159555),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/betamax-enterprise-pte-ltd/,Betamax Enterprise Pte Ltd,betamax@singnet.com.sg,+65  63580648,+65  63540136,65A Neil Rd S(088897),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/leeden-limited/,Leeden Limited,sales.sg@leedenlimited.com,+65  62626626,+65  62612688,1 Shipyard Rd   S(628128),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/auweld-international-pte-ltd/,Auweld International Pte Ltd,enquiry@auweld.com,+65 62626626,+65 62612688,1 Shipyard Rd S(628128),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/allalloy-dynaweld-pte-ltd/,Allalloy Dynaweld Pte Ltd,sales@allalloy.com,+65  68978878,+65  68977006,120 Pioneer Rd   S(639597),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/ad-tools-s-pte-ltd/,Ad-Tools (S) Pte Ltd,adtools@singnet.com.sg,+65  67478261,+65  67430156,520 Sims Ave #01-08  S(387580),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/victory-hardware-co/,Victory Hardware Co,sales@victoryhardware.com.sg,+65  62947588,+65  62970893,Blk 681 Race Course Rd #01-291 S(210681),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/amcoweld-inc-pte-ltd/,Amcoweld Inc Pte Ltd,amcoweld@singnet.com.sg,+65 67429595,+65 67499595,Blk 1005 Eunos Ave 7 #01-06/08 S(409576),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/pnd-hardware-trading-pte-ltd/,PND Hardware & Trading Pte Ltd,enquiries@pnd-hardware.com,+65  65656233,+65  65666298,13 Gul Link   S(629383),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/allinton-engineering-trading-pte-ltd/,Allinton Engineering & Trading Pte Ltd,sales@allinton.com.sg,+65  62960679,+65  62970024,331 Jln Besar S(208983),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/chan-man-lee-trading-co-pte-ltd/,Chan Man Lee Trading Co Pte Ltd,cmltc@singnet.com.sg,+65  62946338,+65  62914692,75 Rowell Rd S(208011),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/abraweld-s-pte-ltd/,Abraweld (S) Pte Ltd,enquiry@abraweld.com.sg,+65  68586841,+65  68586842,1 Up Aljunied Link #08-06 Joo Seng Warehouse Blk A S(367901),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/maxweld-asia-pte-ltd/,Maxweld Asia Pte Ltd,enquiry@maxweld.com.sg,+65  64826966,+65  67566966,Blk 211 Woodlands Ave 9 #08-73 Woodlands Spectrum II S(738960),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/mass-technologies-pte-ltd/,Mass Technologies Pte Ltd,enquiry@masstech.com.sg,+65  67634600,+65  67636316,7 Bt Batok St 22 S(659584),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/lepon-co-pte-ltd/,Lepon Co (Pte) Ltd,,+65  67481833,+65  67466577,23 Kaki Bt View  Kaki Bt Techpark II S(415959),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/homely-hardware-pte-ltd-toh-guan-/,Homely Hardware Pte Ltd (Toh Guan),,+65  67403363,,48 Toh Guan Rd East #01-98 Enterprise Hub S(608586),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/homely-hardware-pte-ltd-jurong-/,Homely Hardware Pte Ltd (Jurong),,+65 62682689,+65 62680882,1 Lok Yang Way 9A S(628623),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/konho-commercial-pte-ltd/,Konho Commercial Pte Ltd,sales@konhoweld.com,+65  67477474,+65  67479955,81 Kaki Bt Ind Ter   S(416161),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/leeds-international-pte-ltd/,Leeds International Pte Ltd,sales@hyloy.com,+65  62913665,+65  62911818,7 Yishun Ind St 1 #07-32 North Spring Bizhub S(768162),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/homely-hardware-pte-ltd-first-centre-/,Homely Hardware Pte Ltd (First Centre),,+65 67403373,+65 65708557,50 Serangoon Nth Ave 4 #01-10/11 First Centre S(555856),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/leeden-distribution-pte-ltd/,Leeden Distribution Pte Ltd,sgsales.welding@leedenlimited.com,+65  62688333,+65  62687515,1 Shipyard Rd S(628128),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/heng-yong-trading/,Heng Yong Trading,sales@hengyong.com.sg,+65  62913293,+65  62921964,15 Cuff Rd S(209726),,architect builder contractor guides,abrasive cutting wheels
